#,Date,Location,Vehicles,Drunken persons,Fatalites,Persons,Pedestrians
290,"Dec 18, 2003 06:53 PM",North-Bend-Rd,1,-,1,2,1
291,"Dec 26, 2003 00:40 AM",Martin-Luther-King,1,1,1,3,1
292,"Jan 12, 2002 02:15 AM",Crawford-Ave,1,1,1,1,-
293,"Jan 13, 2002 02:47 PM",Beechmont-Ave,1,-,1,2,-
294,"Jan 28, 2002 07:18 AM",I-75,2,1,1,2,-
295,"Jan 28, 2002 09:38 PM",Glenway-Ave,1,1,1,2,-
296,"Mar 1, 2002 06:00 PM",Central-Py,2,-,1,2,-
297,"Jan 7, 2002 02:40 PM",Old Ludlow Av,1,-,1,1,-
298,"Mar 1, 2002 09:40 AM",I-75,2,-,1,2,-
299,"Mar 6, 2002 08:38 AM",Red-Bank-Rd,1,-,1,3,-
300,"Apr 8, 2002 02:54 AM",I-75,1,1,1,1,-
301,"Apr 12, 2002 02:36 AM",I-75,1,1,1,2,-
302,"Apr 27, 2002 02:08 AM",Montana-Ave,1,1,1,4,-
303,"Apr 30, 2002 04:42 PM",Reading-Rd.,1,-,1,2,1
304,"May 4, 2002 10:45 PM",Erie-Ave,2,2,1,2,-
305,"May 5, 2002 12:40 AM",W-North-Bend-Rd,1,-,1,5,-
306,"May 31, 2002 06:55 PM",Wehrman-Ave,1,-,1,2,1
307,"Jun 15, 2002 10:48 AM",W Mcmillian St,1,-,1,1,-
308,"Jun 25, 2002 05:15 PM",Hamilton Ave,3,-,1,8,-
309,"Jul 7, 2002 05:05 PM",Queen City Ave,2,1,1,3,-
310,"Jul 27, 2002 04:31 PM",I-74,1,1,1,1,-
311,"Aug 17, 2002 03:15 AM",Reading-Rd,1,1,1,1,-
312,"Sep 7, 2002 08:30 AM",River Rd,2,1,1,5,-
313,"Sep 16, 2002 02:55 PM",Beechmont Avenue,1,-,2,2,-
314,"Sep 26, 2002 10:00 AM",Columbia Parkway,2,-,1,3,-
315,"Oct 29, 2002 06:10 PM",Reading Road,1,-,1,1,-
316,"Nov 6, 2002 09:25 PM",Mcmillan-St,2,-,1,4,-
317,"Nov 11, 2002 09:57 PM",Madison-Rd,1,-,1,3,1
318,"Nov 24, 2002 01:43 AM",Eastern Av,1,1,1,2,-
319,"Oct 3, 2002 11:07 AM",Reading-Road,2,-,1,2,-
320,"Nov 29, 2002 06:40 AM",Queen City Ave,1,-,1,1,-
321,"Dec 3, 2002 00:16 AM",I-71,1,-,1,1,-
322,"Dec 6, 2002 02:29 AM",Mcmillan St,2,2,1,3,-
323,"Dec 22, 2002 00:50 AM",Marshall-Ave,1,1,2,4,-
324,"Dec 20, 2002 04:15 PM",Corbly-St,2,1,1,2,-
325,"Dec 18, 2002 12:23 AM",Eastern Ave,2,-,1,3,-
326,"Dec 20, 2002 11:05 PM",Hawthorne Ave,1,1,1,1,-
327,"Dec 23, 2002 05:33 PM",Reading-Rd,1,-,1,1,-
328,"Dec 30, 2002 03:45 AM",Victory-Py,1,1,1,1,-
329,"Nov 23, 2002 10:05 PM",Western-Hills-Via,2,1,1,4,-
330,"Jun 9, 2001 01:54 PM",Hutchins Ave,1,-,1,1,-
331,"Apr 29, 2001 10:34 PM",Mcmillian St,2,-,1,3,-
332,"Jul 25, 2001 01:41 PM",Losantiville,1,-,1,3,1
333,"May 4, 2001 11:22 PM",Queen City Ave,3,1,1,5,-
334,"Jul 21, 2001 10:57 PM",Eastern Ave,1,1,1,1,-
335,"Aug 23, 2001 01:50 PM",4th Street,1,-,1,3,2
336,"Jul 22, 2001 02:20 AM",I-75,1,1,1,1,-
337,"Apr 18, 2001 10:55 PM",I-75,1,1,3,4,-
338,"Oct 24, 2001 01:44 PM",Madison-Rd,1,-,1,1,-
339,"Sep 22, 2001 02:30 AM",Eastern-Ave,1,1,1,2,-
340,"Aug 12, 2001 06:47 PM",Ludlow-Ave,2,1,1,6,-
341,"Aug 15, 2001 03:42 PM",Columbia-Pl,2,-,1,3,-
342,"Mar 6, 2001 05:20 PM",Wyoming-Ave,2,-,1,2,-
343,"Aug 11, 2001 06:02 PM",I-75,3,-,1,4,-
344,"Sep 30, 2001 04:35 PM",Western-Hills,2,1,1,4,-
345,"Sep 28, 2001 10:59 AM",Sr-264,2,-,1,2,-
346,"Oct 1, 2001 07:06 AM",Us-27,1,-,1,2,1
347,"Nov 2, 2001 05:35 PM",Central-Py,1,-,1,1,-
348,"Dec 15, 2001 11:09 AM",Argus-Rd,2,-,1,3,-
349,"Nov 18, 2001 11:42 AM",W-2nd-Street,1,1,1,8,6
350,"Dec 6, 2001 10:32 AM",W-Central-Parkway,2,-,1,5,-
351,"Dec 21, 2001 06:30 PM",Este-Ave,1,1,1,1,-
352,"Dec 24, 2001 02:47 AM",Columbia-Parkway,1,1,1,1,-
353,"Jan 5, 2000 09:05 PM",I-75,1,1,1,3,1
354,"Feb 19, 2000 05:10 PM",Highland Dr,1,1,1,2,-
355,"Feb 20, 2000 00:15 AM",Colerain Ave,1,1,1,2,-
356,"Jan 30, 2000 05:15 PM",Reading Rd,3,1,1,4,-
357,"Feb 13, 2000 12:52 AM",I-75,2,-,1,2,-
358,"Feb 18, 2000 04:40 PM",Winton Road,2,-,1,3,-
359,"Feb 19, 2000 02:21 AM",Banning Road,1,-,1,2,1
360,"Jun 21, 2000 12:47 AM",Millcreek Road,1,-,1,3,1
361,"Jun 19, 2000 08:28 PM",E 9th St,1,-,1,2,1
362,"Jul 1, 2000 06:33 PM",Reading Rd,1,1,1,2,1
363,"Jul 3, 2000 07:45 AM",Sr-562,2,-,1,2,-
364,"Apr 23, 2000 08:58 PM",Blair Ave,1,-,1,2,1
365,"Jun 22, 2000 01:58 PM",Waverly Ave,1,1,1,8,-
366,"Jun 11, 2000 05:12 AM",Central Pky,1,-,1,1,-
367,"Oct 7, 2000 03:16 PM",Colerain Ave,1,-,1,1,-
368,"Feb 25, 2000 11:58 AM",I-75,3,1,1,3,-
369,"Dec 5, 2000 02:57 AM",Vine St,1,1,1,1,-
370,"Dec 7, 2000 09:33 PM",Harrison Ave,1,-,1,2,1
371,"Oct 23, 2000 08:25 PM",Harrison Ave,1,-,1,1,-
372,"Oct 27, 2000 02:30 AM",Langdon Farm Rd,1,1,1,1,-
373,"Oct 29, 2000 02:35 PM",Harvey Ave,2,-,1,2,-
374,"Oct 31, 2000 11:23 AM",Mchenry Ave,1,-,1,2,-
375,"Nov 18, 2000 08:15 PM",I-75,3,-,1,4,1
376,"Nov 26, 2000 03:45 AM",Columbia Pkwy,2,1,1,3,-
377,"Feb 12, 1999 10:30 PM",I-74,4,1,1,6,-
378,"Feb 3, 1999 01:05 PM",Dana Ave,1,-,1,1,-
379,"Apr 17, 1999 03:35 AM",Elberon Ave,1,1,1,4,-
380,"Mar 27, 1999 02:44 AM",I-275,1,1,1,3,-
381,"May 13, 1999 04:55 PM",State Ave,2,-,1,9,-
382,"May 25, 1999 02:10 PM",Sr-562,1,-,1,1,-
383,"Jul 9, 1999 00:45 AM",I-71,2,-,1,6,-
